Experiment 'experimento', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:38
Experiment 'experimento', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:39
Experiment 'experimento', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:40
Experiment 'experimento', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:41
Experiment 'experimento', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:41
Experiment 'experimento', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:42
Experiment 'experimento', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:43
Experiment 'experimento', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:44
Experiment 'experimento', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:45
Experiment 'experimento', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 2 start at 17/04/2017-22:27:45
